p1476	Copper and cream bobber with alligator seat
p1477	Copper and cream bobber from the other side
p1478	Scroll pinstripe on orange side cover
p1479	Masked fender with sanded body filler
p1480	Fender base-coated under masking plastic
p1481	Masked sedan fender freshly painted gray
p1482	Masked hood and fender ready for paint
p1483	Harley-Davidson tank in red and silver
p1484	Fresh red and silver motorcycle fender
p1485	Gloss blue batwing fairing in the booth
p1486	Blue fairing side in the booth
p1487	Blue and silver saddlebag in the booth
p1488	Fresh blue saddlebag lid on the stand
p1489	Blue two-tone saddlebag with fresh clear
p1490	Airbrushed skull mural on red cowl
p1491	Airbrushed bar and shield with skull mural
p1492	Metallic flag graphic on saddlebag lid
p1493	Masked fairing with flag stripes taped off
p1494	Cleared flag graphic on saddlebag lid
p1495	Sparkle flag stripes under clear on fairing
p1496	Orange metallic Honda tank with stripe logo
p1497	Honda tank in orange metallic, top angle
p1498	Fender taped off in the spray booth
p1499	Fresh silver fender in the booth
p1500	Freshly painted silver bumper in the booth
p1501	Masked truck bed sprayed gloss black
p1502	Masked truck rear sprayed satin black
p1503	Satin black truck side in the booth
p1504	Truck bed cleared gloss black in booth
p1505	Fresh gloss black truck doors in booth
p1506	Gloss black fender with tape lines
p1507	Fresh black paint on truck quarter
p1508	Gloss black truck front cleared in booth
p1509	Batwing fairing in satin sealer on stand
p1510	Stretched saddlebags in gray primer
p1511	Bagger rear fender in gray sealer
p1512	Stretched tank sprayed satin black on stand
p1513	Satin black fairing shell on the stand
p1514	Stretched saddlebags sprayed satin black
p1515	Bagger lids on the rotating paint stand
p1516	Metalflake color-shift tank in green and purple
p1517	Color-shift flake batwing fairing
p1518	Flaked fairing parts curing on the rack
p1519	Cleared color-shift flake tank on stand
p1520	Stretched saddlebags in metalflake color-shift
p1521	Flaked saddlebag set on stands
p1522	Paint shelf stocked with tinters and cups
p1523	Mixing shelf with toners and PPS cups
p1524	Copper base on stretched fairing on the stand
p1525	Red and white fender with gold pinstripe
p1526	Full color-shift flake fairing set with EVO logos
p1527	EVO hexagon graphic on flake side cover
p1528	Flaked fenders with white hexagon graphics
p1529	Purple metalflake chin spoiler close-up
p1530	Hexagon graphics on flaked tour-pak lids
p1531	Blue and silver fender with cracked-ice panel
p1532	Blue fender with cracked-ice silver insert
p1533	Cracked-ice insert close-up on blue fender
p1534	Blue two-tone fender in the shop
p1535	Cracked-ice fender panel from the top
